 PARM = EPCP;SLAT;SLON;IGPT;JGPT                                                 

    STN    YYMMDD/HHMM      EPCP     SLAT     SLON     IGPT     JGPT
   KDIK    060113/0000      0.04    46.78  -102.80    89.18    83.12
   KDKK    060113/0000      0.88    42.50   -79.28   138.27    72.11
   KDLH    060113/0000      0.41    46.83   -92.18   110.72    82.87
   KDLL    060113/0000      0.02    43.32   -89.47   116.63    72.78
   KDLN    060113/0000      1.48    45.25  -112.55    68.91    80.49
   KDLS    060113/0000      5.01    45.62  -121.15    51.62    84.41
   KDMH    060113/0000      0.83    39.28   -76.61   145.13    63.72
   KDMO    060113/0000      0.01    38.70   -93.10   109.18    59.39
   KDNL    060113/0000      0.01    33.47   -82.03   134.90    46.19
   KDNS    060113/0000      0.71    41.98   -95.38   104.19    68.68
   KDOV    060113/0000      1.48    39.13   -75.47   147.66    63.65
   KDPL    060113/0000      0.30    35.00   -77.98   143.66    51.43
   KDRO    060113/0000      0.20    37.15  -107.75    76.57    56.34
   KDSM    060113/0000      0.38    41.53   -93.65   107.89    67.41
   KDSV    060113/0000      2.01    42.56   -77.71   141.55    72.68
   KDTL    060113/0000      0.57    46.83   -95.88   103.22    82.82
   KDTN    060113/0000      0.05    32.53   -93.75   107.91    42.17
   KDTO    060113/0000      0.00    33.20   -97.20    99.91    44.05
   KDTS    060113/0000      0.19    30.40   -86.47   125.21    36.93
   KDTW    060113/0000      0.04    42.23   -83.33   129.79    70.47
   KDUA    060113/0000      0.01    33.94   -96.39   101.81    46.07
   KDUH    060113/0000      0.02    41.74   -83.66   129.21    69.01
   KDUJ    060113/0000      0.80    41.18   -78.90   139.52    68.44
   KDVL    060113/0000      1.71    48.12   -98.90    97.20    86.77
   KDVN    060113/0000      0.01    41.62   -90.58   114.46    67.80
   KDWH    060113/0000      0.00    30.07   -95.55   103.69    35.39
   KDXR    060113/0000      5.76    41.37   -73.48   150.97    70.59
   KDXX    060113/0000      0.27    44.99   -96.18   102.56    77.41
   KDYL    060113/0000      2.63    40.33   -75.12   147.92    67.12
   KDYR    060113/0000      0.00    36.02   -89.40   117.63    52.10
   KDYT    060113/0000      0.35    46.72   -92.04   111.01    82.55
   KEAR    060113/0000      0.11    40.73   -99.00    96.37    65.24
   KEAT    060113/0000      2.72    47.40  -120.20    54.51    89.21
   KEAU    060113/0000      0.20    44.87   -91.48   112.29    77.14
   KEBS    060113/0000      0.64    42.43   -93.87   107.40    69.98
   KECG    060113/0000      1.05    36.27   -76.18   147.23    55.47
   KEDE    060113/0000      0.85    36.03   -76.57   146.45    54.69
   KEEN    060113/0000      8.27    42.90   -72.27   152.79    75.34
   KEEO    060113/0000      2.17    40.05  -107.88    77.06    64.50
   KEET    060113/0000      0.03    33.17   -86.78   124.02    44.50
   KEFT    060113/0000      0.00    42.61   -89.59   116.46    70.72
   KEGE    060113/0000      1.99    39.65  -106.92    79.04    63.18
   KEGV    060113/0000      0.05    45.94   -89.26   116.75    80.43
   KEKN    060113/0000      0.10    38.88   -79.85   138.22    61.72
   KEKO    060113/0000      1.39    40.83  -115.78    60.37    68.82
   KELD    060113/0000      0.08    33.22   -92.80   110.09    44.11
   KELM    060113/0000      2.45    42.17   -76.90   143.40    71.79
   KELN    060113/0000      3.07    47.00  -120.51    53.67    88.16
   KELO    060113/0000      1.20    47.82   -91.83   111.36    85.83
   KELP    060113/0000      0.01    31.80  -106.40    78.33    41.27
   KELY    060113/0000      0.66    39.28  -114.85    61.71    64.17
   KELZ    060113/0000      1.60    42.10   -77.98   141.15    71.30
   KEMP    060113/0000      0.07    38.33   -96.20   102.35    58.33
